Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
8083971283,"Nov 7, 2022, 8:08:00 PM",November 11 2022,Run,,2168,5.46,,,false,,,activities/8083971283.gpx,,,2168.0,2133.0,5463.8,5.025,2.562,23.3,24.0,6.1,23.8,15.2,0.0,,,,,,,,,,,,,,,,,,7.0,,,,,0.0,68.0,0.0,,1.0,5505.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.52,0.0,,,,,,,,,,,,,,,,,""
8211950315,"Dec 5, 2022, 8:08:16 PM","December 5, 2022",Run,,1684,5.07,,,false,,,activities/8211950315.gpx,,,1684.0,1684.0,5078.4,7.974,3.016,33.8,33.9,9.8,40.1,6.1,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5105.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.016,0.0,,,,,,,,,,,,,,,,,""
8212672508,"Dec 5, 2022, 7:31:17 PM",Quadriceps,Workout,Prehab session to relieve soreness and reduce risk of injury.,667,0,,,false,,,,,,667.0,667.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,media/07d4ab87-e9a9-4bdd-9fb4-dd2c7bde3af0.jpg
8217091706,"Dec 6, 2022, 6:51:18 PM",Quadriceps,Workout,Prehab session to relieve soreness and reduce risk of injury.,535,0,,,false,,,,,,535.0,535.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,media/afb535cb-248d-416d-a3f5-3b0beb4cc7ae.jpg
8221564461,"Dec 7, 2022, 7:45:18 PM",Quadriceps,Workout,Prehab session to relieve soreness and reduce risk of injury.,613,0,,,false,,,,,,613.0,613.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,media/0b5651d5-685b-449b-9406-714f8136bbf9.jpg
8224900776,"Dec 8, 2022, 8:07:44 PM",December 8th 2022,Run,,1188,3.78,,,false,,,activities/8224900776.gpx,,,1188.0,1188.0,3779.2,10.922,3.181,22.0,15.3,9.4,24.2,8.5,0.2,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,3822.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.181,0.0,,,,,,,,,,,,,,,,,""
8225741852,"Dec 8, 2022, 7:55:06 PM",Quadriceps,Workout,Prehab session to relieve soreness and reduce risk of injury.,463,0,,,false,,,,,,463.0,463.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,media/1e22eaaf-9e27-46f0-a98b-e03f78f3d68b.jpg
8237714301,"Dec 11, 2022, 4:36:56 PM",Intro To Plyometrics,Workout,Prehab session to relieve soreness and reduce risk of injury.,232,0,,,false,,,,,,232.0,232.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,media/b44b7f7f-f18d-4308-9175-71831f587cc0.jpg
8237745067,"Dec 11, 2022, 4:41:08 PM",Light stretching and bodyweight mobility,Workout,Prehab session to relieve soreness and reduce risk of injury.,687,0,,,false,,,,,,687.0,687.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,media/a7977828-c005-4476-825b-59a348ad065a.jpg
8237773310,"Dec 11, 2022, 4:52:50 PM",Lower Body Guided Foam Roll,Workout,Prehab session to relieve soreness and reduce risk of injury.,636,0,,,false,,,,,,636.0,636.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,media/a7a67871-68ed-4564-a084-ac16ccda6917.jpg
8241098589,"Dec 12, 2022, 8:14:18 PM",December 12 2022,Run,,1635,5.04,,,false,,,activities/8241098589.gpx,,,1635.0,1635.0,5047.1,9.518,3.087,33.3,33.7,9.8,40.0,5.5,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5072.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.087,0.0,,,,,,,,,,,,,,,,,""
8252725865,"Dec 15, 2022, 8:12:11 PM",December 15 2022,Run,,1506,4.56,,,false,,,activities/8252725865.gpx,,,1506.0,1496.0,4564.5,7.712,3.051,22.1,25.7,1.3,16.7,3.9,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4576.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.031,0.0,,,,,,,,,,,,,,,,,""
8275969873,"Dec 21, 2022, 7:49:25 PM",December 21,Run,,1441,4.05,,,false,,,activities/8275969873.gpx,,,1441.0,1426.0,4058.8,4.462,2.846,13.6,8.9,9.1,23.8,8.8,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4086.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.817,0.0,,,,,,,,,,,,,,,,,""
8279790277,"Dec 22, 2022, 7:54:43 PM",December 22,Run,,1894,5.26,,,false,,,activities/8279790277.gpx,,,1894.0,1894.0,5260.3,5.364,2.777,35.9,29.5,1.6,23.8,9.1,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,5316.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.777,0.0,,,,,,,,,,,,,,,,,""
8457003753,"Jan 26, 2023, 8:04:34 PM",January 26 2022,Run,,2691,8.06,,,false,,,activities/8457003753.gpx,,,2691.0,2688.0,8059.8,4.204,2.998,45.4,45.5,1.4,21.0,5.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,8102.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.995,0.0,,,,,,,,,,,,,,,,,""
8765605574,"Mar 23, 2023, 6:55:43 PM",Afternoon Run,Run,,1901,5.28,,,false,,,activities/8765605574.gpx,,,1901.0,1876.0,5282.4,9.362,2.816,31.9,30.3,1.8,23.7,9.8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5324.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.779,0.0,,,,4814.0,,,,,,,,,,,,,""
